["https://t.co/ncW6s0bfPn"] : 287 => ["wann…", "Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["https://t.co/ncW6s0bfPn", "wann…"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "wann…"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["wann…", "Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "already"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["https://t.co/ncW6s0bfPn", "already"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "already"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "already"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "@dcmp_tweets:"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["https://t.co/ncW6s0bfPn", "@dcmp_tweets:"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "@dcmp_tweets:"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "@dcmp_tweets:"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["perfection", "Taehyung's"] : 287 : 1.0 : 34.30662020905923
["perfection", "Taehyung's"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["defines", "perfection"] : 287 : 1.0 : 34.30662020905923
["defines", "perfection"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["perfection", "proved"] : 287 : 1.0 : 34.30662020905923
["perfection", "proved"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["profile", "perfection"] : 287 : 1.0 : 34.30662020905923
["profile", "perfection"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["perfection", "wann…"] : 287 : 1.0 : 34.30662020905923
["perfection", "wann…"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["proved", "Taehyung's"] : 287 : 1.0 : 34.30662020905923
["proved", "Taehyung's"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["defines", "proved"] : 287 : 1.0 : 34.30662020905923
["defines", "proved"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["profile", "proved"] : 287 : 1.0 : 34.30662020905923
["profile", "proved"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["perfection", "Taehyung's"] : 287 : 1.0 : 34.30662020905923
["perfection", "Taehyung's"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["defines", "perfection"] : 287 : 1.0 : 34.30662020905923
["defines", "perfection"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["perfection", "proved"] : 287 : 1.0 : 34.30662020905923
["perfection", "proved"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["profile", "perfection"] : 287 : 1.0 : 34.30662020905923
["profile", "perfection"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["perfection", "wann…"] : 287 : 1.0 : 34.30662020905923
["perfection", "wann…"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["proved", "Taehyung's"] : 287 : 1.0 : 34.30662020905923
["proved", "Taehyung's"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["defines", "proved"] : 287 : 1.0 : 34.30662020905923
["defines", "proved"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["profile", "proved"] : 287 : 1.0 : 34.30662020905923
["profile", "proved"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["https://t.co/ncW6s0bfPn", "Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 : 1.0 : 34.30662020905923
["side"] : 287 => ["https://t.co/ncW6s0bfPn", "Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "science", "side"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["https://t.co/ncW6s0bfPn", "science", "side"] : 287 : 1.0 : 34.30662020905923
["science", "side"] : 287 => ["https://t.co/ncW6s0bfPn", "Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "science"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 => ["https://t.co/ncW6s0bfPn", "side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "side"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 => ["https://t.co/ncW6s0bfPn", "science"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["science", "side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "science", "side"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "science", "side"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 => ["side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["perfection", "https://t.co/ncW6s0bfPn", "side"] : 287 : 1.0 : 34.30662020905923
["side"] : 287 => ["perfection", "https://t.co/ncW6s0bfPn", "science"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["perfection", "science", "side"] : 287 : 1.0 : 34.30662020905923
["science", "side"] : 287 => ["perfection", "https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "science"] : 287 => ["perfection", "side"] : 287 : 1.0 : 34.30662020905923
["perfection", "science"] : 287 => ["https://t.co/ncW6s0bfPn", "side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "side"] : 287 => ["perfection", "science"] : 287 : 1.0 : 34.30662020905923
["perfection", "side"] : 287 => ["https://t.co/ncW6s0bfPn", "science"] : 287 : 1.0 : 34.30662020905923
["perfection", "https://t.co/ncW6s0bfPn"] : 287 => ["science", "side"] : 287 : 1.0 : 34.30662020905923
["perfection", "science", "side"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["perfection", "https://t.co/ncW6s0bfPn", "science"] : 287 => ["side"] : 287 : 1.0 : 34.30662020905923
["perfection", "https://t.co/ncW6s0bfPn", "side"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["https://t.co/ncW6s0bfPn", "Taehyung's", "side"] : 287 : 1.0 : 34.30662020905923
["side"] : 287 => ["https://t.co/ncW6s0bfPn", "science", "Taehyung's"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["science", "Taehyung's", "side"] : 287 : 1.0 : 34.30662020905923
["science", "side"] : 287 => ["https://t.co/ncW6s0bfPn", "Taehyung's"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "science"] : 287 => ["Taehyung's", "side"] : 287 : 1.0 : 34.30662020905923
["science", "Taehyung's"] : 287 => ["https://t.co/ncW6s0bfPn", "side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "side"] : 287 => ["science", "Taehyung's"] : 287 : 1.0 : 34.30662020905923
["Taehyung's", "side"] : 287 => ["https://t.co/ncW6s0bfPn", "science"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "Taehyung's"] : 287 => ["science", "side"] : 287 : 1.0 : 34.30662020905923
["science", "Taehyung's", "side"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "science", "Taehyung's"] : 287 => ["side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "Taehyung's", "side"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["defines", "https://t.co/ncW6s0bfPn", "side"] : 287 : 1.0 : 34.30662020905923
["side"] : 287 => ["defines", "https://t.co/ncW6s0bfPn", "science"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["defines", "science", "side"] : 287 : 1.0 : 34.30662020905923
["science", "side"] : 287 => ["defines", "https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "science"] : 287 => ["defines", "side"] : 287 : 1.0 : 34.30662020905923
["defines", "science"] : 287 => ["https://t.co/ncW6s0bfPn", "side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "side"] : 287 => ["defines", "science"] : 287 : 1.0 : 34.30662020905923
["defines", "side"] : 287 => ["https://t.co/ncW6s0bfPn", "science"] : 287 : 1.0 : 34.30662020905923
["defines", "https://t.co/ncW6s0bfPn"] : 287 => ["science", "side"] : 287 : 1.0 : 34.30662020905923
["defines", "science", "side"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["defines", "https://t.co/ncW6s0bfPn", "science"] : 287 => ["side"] : 287 : 1.0 : 34.30662020905923
["defines", "https://t.co/ncW6s0bfPn", "side"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["https://t.co/ncW6s0bfPn", "proved", "side"] : 287 : 1.0 : 34.30662020905923
["side"] : 287 => ["https://t.co/ncW6s0bfPn", "science", "proved"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["science", "proved", "side"] : 287 : 1.0 : 34.30662020905923
["science", "side"] : 287 => ["https://t.co/ncW6s0bfPn", "proved"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "science"] : 287 => ["proved", "side"] : 287 : 1.0 : 34.30662020905923
["science", "proved"] : 287 => ["https://t.co/ncW6s0bfPn", "side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "side"] : 287 => ["science", "proved"] : 287 : 1.0 : 34.30662020905923
["proved", "side"] : 287 => ["https://t.co/ncW6s0bfPn", "science"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "proved"] : 287 => ["science", "side"] : 287 : 1.0 : 34.30662020905923
["science", "proved", "side"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "science", "proved"] : 287 => ["side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "proved", "side"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["profile", "https://t.co/ncW6s0bfPn", "side"] : 287 : 1.0 : 34.30662020905923
["side"] : 287 => ["profile", "https://t.co/ncW6s0bfPn", "science"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["profile", "science", "side"] : 287 : 1.0 : 34.30662020905923
["science", "side"] : 287 => ["profile", "https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "science"] : 287 => ["profile", "side"] : 287 : 1.0 : 34.30662020905923
["profile", "science"] : 287 => ["https://t.co/ncW6s0bfPn", "side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "side"] : 287 => ["profile", "science"] : 287 : 1.0 : 34.30662020905923
["profile", "side"] : 287 => ["https://t.co/ncW6s0bfPn", "science"] : 287 : 1.0 : 34.30662020905923
["profile", "https://t.co/ncW6s0bfPn"] : 287 => ["science", "side"] : 287 : 1.0 : 34.30662020905923
["profile", "science", "side"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["profile", "https://t.co/ncW6s0bfPn", "science"] : 287 => ["side"] : 287 : 1.0 : 34.30662020905923
["profile", "https://t.co/ncW6s0bfPn", "side"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["https://t.co/ncW6s0bfPn", "wann…", "side"] : 287 : 1.0 : 34.30662020905923
["side"] : 287 => ["https://t.co/ncW6s0bfPn", "wann…", "science"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["wann…", "science", "side"] : 287 : 1.0 : 34.30662020905923
["science", "side"] : 287 => ["https://t.co/ncW6s0bfPn", "wann…"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "science"] : 287 => ["wann…", "side"] : 287 : 1.0 : 34.30662020905923
["wann…", "science"] : 287 => ["https://t.co/ncW6s0bfPn", "side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "side"] : 287 => ["wann…", "science"] : 287 : 1.0 : 34.30662020905923
["wann…", "side"] : 287 => ["https://t.co/ncW6s0bfPn", "science"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "wann…"] : 287 => ["science", "side"] : 287 : 1.0 : 34.30662020905923
["wann…", "science", "side"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "wann…", "science"] : 287 => ["side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "wann…", "side"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["https://t.co/ncW6s0bfPn", "already", "side"] : 287 : 1.0 : 34.30662020905923
["side"] : 287 => ["https://t.co/ncW6s0bfPn", "science", "already"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["science", "already", "side"] : 287 : 1.0 : 34.30662020905923
["science", "side"] : 287 => ["https://t.co/ncW6s0bfPn", "already"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "science"] : 287 => ["already", "side"] : 287 : 1.0 : 34.30662020905923
["science", "already"] : 287 => ["https://t.co/ncW6s0bfPn", "side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "side"] : 287 => ["science", "already"] : 287 : 1.0 : 34.30662020905923
["already", "side"] : 287 => ["https://t.co/ncW6s0bfPn", "science"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "already"] : 287 => ["science", "side"] : 287 : 1.0 : 34.30662020905923
["science", "already", "side"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "science", "already"] : 287 => ["side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "already", "side"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["https://t.co/ncW6s0bfPn", "@dcmp_tweets:", "side"] : 287 : 1.0 : 34.30662020905923
["side"] : 287 => ["https://t.co/ncW6s0bfPn", "@dcmp_tweets:", "science"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["@dcmp_tweets:", "science", "side"] : 287 : 1.0 : 34.30662020905923
["science", "side"] : 287 => ["https://t.co/ncW6s0bfPn", "@dcmp_tweets:"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "science"] : 287 => ["@dcmp_tweets:", "side"] : 287 : 1.0 : 34.30662020905923
["@dcmp_tweets:", "science"] : 287 => ["https://t.co/ncW6s0bfPn", "side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "side"] : 287 => ["@dcmp_tweets:", "science"] : 287 : 1.0 : 34.30662020905923
["@dcmp_tweets:", "side"] : 287 => ["https://t.co/ncW6s0bfPn", "science"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "@dcmp_tweets:"] : 287 => ["science", "side"] : 287 : 1.0 : 34.30662020905923
["@dcmp_tweets:", "science", "side"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "@dcmp_tweets:", "science"] : 287 => ["side"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "@dcmp_tweets:", "side"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["perfection", "Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 : 1.0 : 34.30662020905923
["side"] : 287 => ["perfection", "Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["perfection", "science", "side"] : 287 : 1.0 : 34.30662020905923
["science", "side"] : 287 => ["perfection", "Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 => ["perfection", "side"] : 287 : 1.0 : 34.30662020905923
["perfection", "science"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 => ["perfection", "science"] : 287 : 1.0 : 34.30662020905923
["perfection", "side"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 : 1.0 : 34.30662020905923
["perfection", "Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["science", "side"] : 287 : 1.0 : 34.30662020905923
["perfection", "science", "side"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["perfection", "Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 => ["side"] : 287 : 1.0 : 34.30662020905923
["perfection", "Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "Taehyung's", "side"] : 287 : 1.0 : 34.30662020905923
["side"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "science", "Taehyung's"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["science", "Taehyung's", "side"] : 287 : 1.0 : 34.30662020905923
["science", "side"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "Taehyung's"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 => ["Taehyung's", "side"] : 287 : 1.0 : 34.30662020905923
["science", "Taehyung's"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 => ["science", "Taehyung's"] : 287 : 1.0 : 34.30662020905923
["Taehyung's", "side"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "Taehyung's"] : 287 => ["science", "side"] : 287 : 1.0 : 34.30662020905923
["science", "Taehyung's", "side"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "science", "Taehyung's"] : 287 => ["side"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "Taehyung's", "side"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["defines", "Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 : 1.0 : 34.30662020905923
["side"] : 287 => ["defines", "Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["defines", "science", "side"] : 287 : 1.0 : 34.30662020905923
["science", "side"] : 287 => ["defines", "Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 => ["defines", "side"] : 287 : 1.0 : 34.30662020905923
["defines", "science"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 => ["defines", "science"] : 287 : 1.0 : 34.30662020905923
["defines", "side"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 : 1.0 : 34.30662020905923
["defines", "Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["science", "side"] : 287 : 1.0 : 34.30662020905923
["defines", "science", "side"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["defines", "Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 => ["side"] : 287 : 1.0 : 34.30662020905923
["defines", "Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "proved", "side"] : 287 : 1.0 : 34.30662020905923
["side"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "science", "proved"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["science", "proved", "side"] : 287 : 1.0 : 34.30662020905923
["science", "side"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "proved"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 => ["proved", "side"] : 287 : 1.0 : 34.30662020905923
["science", "proved"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 => ["science", "proved"] : 287 : 1.0 : 34.30662020905923
["proved", "side"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "proved"] : 287 => ["science", "side"] : 287 : 1.0 : 34.30662020905923
["science", "proved", "side"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "science", "proved"] : 287 => ["side"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "proved", "side"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["profile", "Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 : 1.0 : 34.30662020905923
["side"] : 287 => ["profile", "Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["profile", "science", "side"] : 287 : 1.0 : 34.30662020905923
["science", "side"] : 287 => ["profile", "Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 => ["profile", "side"] : 287 : 1.0 : 34.30662020905923
["profile", "science"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "side"] : 287 => ["profile", "science"] : 287 : 1.0 : 34.30662020905923
["profile", "side"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "science"] : 287 : 1.0 : 34.30662020905923
